Notes,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Race,Race Code,Deaths,Population
,2008,2008,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,727,276583
,2008,2008,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1107,1242386
,2008,2008,35-44 years,35-44,Male,M,Black or African American,2054-5,9188,2686171
,2008,2008,35-44 years,35-44,Male,M,White,2106-3,36664,16791613
Total,2008,2008,35-44 years,35-44,Male,M,,,47686,20996753
Total,2008,2008,35-44 years,35-44,,,,,76370,42192486
,2008,2008,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,770,256685
,2008,2008,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1500,1154953
,2008,2008,45-54 years,45-54,Female,F,Black or African American,2054-5,15276,2965734
,2008,2008,45-54 years,45-54,Female,F,White,2106-3,53958,18220164
Total,2008,2008,45-54 years,45-54,Female,F,,,71504,22597536
,2008,2008,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1317,246091
,2008,2008,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2219,1011799
,2008,2008,45-54 years,45-54,Male,M,Black or African American,2054-5,20684,2615808
,2008,2008,45-54 years,45-54,Male,M,White,2106-3,90818,17989213
Total,2008,2008,45-54 years,45-54,Male,M,,,115038,21862911
Total,2008,2008,45-54 years,45-54,,,,,186542,44460447
,2008,2008,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,1003,160156
,2008,2008,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,2564,826455
,2008,2008,55-64 years,55-64,Female,F,Black or African American,2054-5,20048,2004557
,2008,2008,55-64 years,55-64,Female,F,White,2106-3,93017,14690595
Total,2008,2008,55-64 years,55-64,Female,F,,,116632,17681763
,2008,2008,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1438,149519
,2008,2008,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,3550,687537
,2008,2008,55-64 years,55-64,Male,M,Black or African American,2054-5,28664,1663239
,2008,2008,55-64 years,55-64,Male,M,White,2106-3,145898,13975005
Total,2008,2008,55-64 years,55-64,Male,M,,,179550,16475300
Total,2008,2008,55-64 years,55-64,,,,,296182,34157063
,2008,2008,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1205,78848
,2008,2008,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3725,445702
,2008,2008,65-74 years,65-74,Female,F,Black or African American,2054-5,23794,1132138
,2008,2008,65-74 years,65-74,Female,F,White,2106-3,147455,9347556
Total,2008,2008,65-74 years,65-74,Female,F,,,176179,11004244
,2008,2008,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1464,68783
,2008,2008,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,4721,370821
,2008,2008,65-74 years,65-74,Male,M,Black or African American,2054-5,27973,835548
,2008,2008,65-74 years,65-74,Male,M,White,2106-3,191242,8226283
Total,2008,2008,65-74 years,65-74,Male,M,,,225400,9501435
Total,2008,2008,65-74 years,65-74,,,,,401579,20505679
,2008,2008,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1318,37952
,2008,2008,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,6286,248342
,2008,2008,75-84 years,75-84,Female,F,Black or African American,2054-5,32057,661878
,2008,2008,75-84 years,75-84,Female,F,White,2106-3,292003,6708271
Total,2008,2008,75-84 years,75-84,Female,F,,,331664,7656443
,2008,2008,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1269,26831
,2008,2008,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,6131,170507
,2008,2008,75-84 years,75-84,Male,M,Black or African American,2054-5,27073,382161
,2008,2008,75-84 years,75-84,Male,M,White,2106-3,287423,4840160
Total,2008,2008,75-84 years,75-84,Male,M,,,321896,5419659
Total,2008,2008,75-84 years,75-84,,,,,653560,13076102
,2008,2008,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1144,12677
,2008,2008,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,7210,81384
,2008,2008,85+ years,85+,Female,F,Black or African American,2054-5,34767,263829
,2008,2008,85+ years,85+,Female,F,White,2106-3,440349,3175136
Total,2008,2008,85+ years,85+,Female,F,,,483470,3533026
,2008,2008,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,622,6295
,2008,2008,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,5063,48252
,2008,2008,85+ years,85+,Male,M,Black or African American,2054-5,15506,100819
,2008,2008,85+ years,85+,Male,M,White,2106-3,240030,1507448
Total,2008,2008,85+ years,85+,Male,M,,,261221,1662814
Total,2008,2008,85+ years,85+,,,,,744691,5195840
,2008,2008,Not Stated,NS,Female,F,American Indian or Alaska Native,1002-5,3,Not Applicable
,2008,2008,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,1,Not Applicable
,2008,2008,Not Stated,NS,Female,F,Black or African American,2054-5,6,Not Applicable
,2008,2008,Not Stated,NS,Female,F,White,2106-3,35,Not Applicable
Total,2008,2008,Not Stated,NS,Female,F,,,45,Not Applicable
,2008,2008,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,2,Not Applicable
,2008,2008,Not Stated,NS,Male,M,Black or African American,2054-5,17,Not Applicable
,2008,2008,Not Stated,NS,Male,M,White,2106-3,83,Not Applicable
Total,2008,2008,Not Stated,NS,Male,M,,,102,Not Applicable
Total,2008,2008,Not Stated,NS,,,,,147,Not Applicable
Total,2008,2008,,,,,,,2471984,304093966
,2009,2009,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,171,38499
,2009,2009,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,414,110795
,2009,2009,< 1 year,1,Female,F,Black or African American,2054-5,3606,337020
,2009,2009,< 1 year,1,Female,F,White,2106-3,7398,1472855
Total,2009,2009,< 1 year,1,Female,F,,,11589,1959169
,2009,2009,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,214,39004
,2009,2009,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,484,117476
,2009,2009,< 1 year,1,Male,M,Black or African American,2054-5,4706,346752
,2009,2009,< 1 year,1,Male,M,White,2106-3,9419,1541186
Total,2009,2009,< 1 year,1,Male,M,,,14823,2044418
Total,2009,2009,< 1 year,1,,,,,26412,4003587
,2009,2009,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,35,149223
,2009,2009,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,58,455934
,2009,2009,1-4 years,4-Jan,Female,F,Black or African American,2054-5,501,1328982
,2009,2009,1-4 years,4-Jan,Female,F,White,2106-3,1361,6009121
Total,2009,2009,1-4 years,4-Jan,Female,F,,,1955,7943260
,2009,2009,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,48,154003
,2009,2009,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,91,470558
,2009,2009,1-4 years,4-Jan,Male,M,Black or African American,2054-5,576,1374554
,2009,2009,1-4 years,4-Jan,Male,M,White,2106-3,1780,6298556
Total,2009,2009,1-4 years,4-Jan,Male,M,,,2495,8297671
Total,2009,2009,1-4 years,4-Jan,,,,,4450,16240931
,2009,2009,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,58,357994
,2009,2009,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,109,1093896
,2009,2009,5-14 years,14-May,Female,F,Black or African American,2054-5,545,3280109
,2009,2009,5-14 years,14-May,Female,F,White,2106-3,1691,15231477
Total,2009,2009,5-14 years,14-May,Female,F,,,2403,19963476
,2009,2009,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,57,367174
,2009,2009,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,122,1107653
,2009,2009,5-14 years,14-May,Male,M,Black or African American,2054-5,755,3394525
,2009,2009,5-14 years,14-May,Male,M,White,2106-3,2314,16010235
Total,2009,2009,5-14 years,14-May,Male,M,,,3248,20879587
Total,2009,2009,5-14 years,14-May,,,,,5651,40843063
,2009,2009,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,202,358886
,2009,2009,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,252,1195340
,2009,2009,15-24 years,15-24,Female,F,Black or African American,2054-5,1652,3541617
,2009,2009,15-24 years,15-24,Female,F,White,2106-3,5998,16168141
Total,2009,2009,15-24 years,15-24,Female,F,,,8104,21263984
,2009,2009,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,468,386907
,2009,2009,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,511,1238521
,2009,2009,15-24 years,15-24,Male,M,Black or African American,2054-5,5090,3571945
,2009,2009,15-24 years,15-24,Male,M,White,2106-3,16243,17115575
Total,2009,2009,15-24 years,15-24,Male,M,,,22312,22312948
Total,2009,2009,15-24 years,15-24,,,,,30416,43576932
,2009,2009,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,250,305210
,2009,2009,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,386,1486467
,2009,2009,25-34 years,25-34,Female,F,Black or African American,2054-5,2958,3032924
,2009,2009,25-34 years,25-34,Female,F,White,2106-3,9709,15442829
Total,2009,2009,25-34 years,25-34,Female,F,,,13303,20267430
,2009,2009,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,502,324093
,2009,2009,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,679,1349145
,2009,2009,25-34 years,25-34,Male,M,Black or African American,2054-5,6238,2758449
,2009,2009,25-34 years,25-34,Male,M,White,2106-3,21780,16024225
Total,2009,2009,25-34 years,25-34,Male,M,,,29199,20455912
Total,2009,2009,25-34 years,25-34,,,,,42502,40723342
,2009,2009,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,479,278857
,2009,2009,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,720,1416832
,2009,2009,35-44 years,35-44,Female,F,Black or African American,2054-5,6201,2985333
,2009,2009,35-44 years,35-44,Female,F,White,2106-3,20710,16160588
Total,2009,2009,35-44 years,35-44,Female,F,,,28110,20841610
,2009,2009,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,782,283752
,2009,2009,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1194,1274211
,2009,2009,35-44 years,35-44,Male,M,Black or African American,2054-5,8952,2657914
,2009,2009,35-44 years,35-44,Male,M,White,2106-3,35627,16430324
Total,2009,2009,35-44 years,35-44,Male,M,,,46555,20646201
Total,2009,2009,35-44 years,35-44,,,,,74665,41487811
,2009,2009,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,924,266667
,2009,2009,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1460,1196924
,2009,2009,45-54 years,45-54,Female,F,Black or African American,2054-5,15127,3022312
,2009,2009,45-54 years,45-54,Female,F,White,2106-3,55237,18311951
Total,2009,2009,45-54 years,45-54,Female,F,,,72748,22797854
,2009,2009,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1250,256854
,2009,2009,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2379,1050132
,2009,2009,45-54 years,45-54,Male,M,Black or African American,2054-5,20320,2672209
,2009,2009,45-54 years,45-54,Male,M,White,2106-3,90871,18090039
Total,2009,2009,45-54 years,45-54,Male,M,,,114820,22069234
Total,2009,2009,45-54 years,45-54,,,,,187568,44867088
,2009,2009,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,1029,170394
,2009,2009,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,2588,877831
,2009,2009,55-64 years,55-64,Female,F,Black or African American,2054-5,20744,2108842
,2009,2009,55-64 years,55-64,Female,F,White,2106-3,94804,15172474
Total,2009,2009,55-64 years,55-64,Female,F,,,119165,18329541
,2009,2009,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1496,158974
,2009,2009,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,3709,727446
,2009,2009,55-64 years,55-64,Male,M,Black or African American,2054-5,29932,1753418
,2009,2009,55-64 years,55-64,Male,M,White,2106-3,149005,14436221
Total,2009,2009,55-64 years,55-64,Male,M,,,184142,17076059
Total,2009,2009,55-64 years,55-64,,,,,303307,35405600
,2009,2009,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1233,83743
,2009,2009,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3657,470755
,2009,2009,65-74 years,65-74,Female,F,Black or African American,2054-5,23794,1165689
,2009,2009,65-74 years,65-74,Female,F,White,2106-3,146554,9654970
Total,2009,2009,65-74 years,65-74,Female,F,,,175238,11375157
,2009,2009,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1441,73152
,2009,2009,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,4783,392450
,2009,2009,65-74 years,65-74,Male,M,Black or African American,2054-5,28076,863857
,2009,2009,65-74 years,65-74,Male,M,White,2106-3,191494,8528483
Total,2009,2009,65-74 years,65-74,Male,M,,,225794,9857942
Total,2009,2009,65-74 years,65-74,,,,,401032,21233099
,2009,2009,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1316,39488
,2009,2009,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,6393,258589
,2009,2009,75-84 years,75-84,Female,F,Black or African American,2054-5,31349,667850
,2009,2009,75-84 years,75-84,Female,F,White,2106-3,277637,6624713
Total,2009,2009,75-84 years,75-84,Female,F,,,316695,7590640
,2009,2009,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1219,28072
,2009,2009,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,6167,178399
,2009,2009,75-84 years,75-84,Male,M,Black or African American,2054-5,26115,388158
,2009,2009,75-84 years,75-84,Male,M,White,2106-3,277531,4837506
Total,2009,2009,75-84 years,75-84,Male,M,,,311032,5432135
Total,2009,2009,75-84 years,75-84,,,,,627727,13022775
,2009,2009,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1158,13435
,2009,2009,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,7626,87803
,2009,2009,85+ years,85+,Female,F,Black or African American,2054-5,33897,273838
,2009,2009,85+ years,85+,Female,F,White,2106-3,427715,3256878
Total,2009,2009,85+ years,85+,Female,F,,,470396,3631954
,2009,2009,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,627,6834
,2009,2009,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,5435,51874
,2009,2009,85+ years,85+,Male,M,Black or African American,2054-5,15459,106153
,2009,2009,85+ years,85+,Male,M,White,2106-3,241261,1570486
Total,2009,2009,85+ years,85+,Male,M,,,262782,1735347
Total,2009,2009,85+ years,85+,,,,,733178,5367301
,2009,2009,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,2,Not Applicable
,2009,2009,Not Stated,NS,Female,F,Black or African American,2054-5,10,Not Applicable
,2009,2009,Not Stated,NS,Female,F,White,2106-3,66,Not Applicable
Total,2009,2009,Not Stated,NS,Female,F,,,78,Not Applicable
,2009,2009,Not Stated,NS,Male,M,American Indian or Alaska Native,1002-5,1,Not Applicable
,2009,2009,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,6,Not Applicable
,2009,2009,Not Stated,NS,Male,M,Black or African American,2054-5,20,Not Applicable
,2009,2009,Not Stated,NS,Male,M,White,2106-3,150,Not Applicable
Total,2009,2009,Not Stated,NS,Male,M,,,177,Not Applicable
Total,2009,2009,Not Stated,NS,,,,,255,Not Applicable
Total,2009,2009,,,,,,,2437163,306771529
,2010,2010,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,141,38480
,2010,2010,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,375,109711
,2010,2010,< 1 year,1,Female,F,Black or African American,2054-5,3285,330352
,2010,2010,< 1 year,1,Female,F,White,2106-3,7083,1451334
Total,2010,2010,< 1 year,1,Female,F,,,10884,1929877
,2010,2010,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,213,39263
,2010,2010,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,502,115570
,2010,2010,< 1 year,1,Male,M,Black or African American,2054-5,4116,341156
,2010,2010,< 1 year,1,Male,M,White,2106-3,8871,1518287
Total,2010,2010,< 1 year,1,Male,M,,,13702,2014276
Total,2010,2010,< 1 year,1,,,,,24586,3944153
,2010,2010,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,38,155515
,2010,2010,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,75,459828
,2010,2010,1-4 years,4-Jan,Female,F,Black or African American,2054-5,446,1343498
,2010,2010,1-4 years,4-Jan,Female,F,White,2106-3,1297,5993217
Total,2010,2010,1-4 years,4-Jan,Female,F,,,1856,7952058
,2010,2010,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,55,160468
,2010,2010,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,92,475550
,2010,2010,1-4 years,4-Jan,Male,M,Black or African American,2054-5,595,1388288
,2010,2010,1-4 years,4-Jan,Male,M,White,2106-3,1718,6280845
Total,2010,2010,1-4 years,4-Jan,Male,M,,,2460,8305151
Total,2010,2010,1-4 years,4-Jan,,,,,4316,16257209
,2010,2010,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,39,370285
,2010,2010,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,89,1124489
,2010,2010,5-14 years,14-May,Female,F,Black or African American,2054-5,478,3291504
,2010,2010,5-14 years,14-May,Female,F,White,2106-3,1619,15270073
Total,2010,2010,5-14 years,14-May,Female,F,,,2225,20056351
,2010,2010,5-14 years,14-May,Male,M,American Indian or Alaska Native,1002-5,69,380515
,2010,2010,5-14 years,14-May,Male,M,Asian or Pacific Islander,A-PI,96,1137508
,2010,2010,5-14 years,14-May,Male,M,Black or African American,2054-5,667,3408093
,2010,2010,5-14 years,14-May,Male,M,White,2106-3,2222,16043384
Total,2010,2010,5-14 years,14-May,Male,M,,,3054,20969500
Total,2010,2010,5-14 years,14-May,,,,,5279,41025851
,2010,2010,15-24 years,15-24,Female,F,American Indian or Alaska Native,1002-5,159,364366
,2010,2010,15-24 years,15-24,Female,F,Asian or Pacific Islander,A-PI,208,1222670
,2010,2010,15-24 years,15-24,Female,F,Black or African American,2054-5,1546,3568436
,2010,2010,15-24 years,15-24,Female,F,White,2106-3,5848,16153028
Total,2010,2010,15-24 years,15-24,Female,F,,,7761,21308500
,2010,2010,15-24 years,15-24,Male,M,American Indian or Alaska Native,1002-5,456,391846
,2010,2010,15-24 years,15-24,Male,M,Asian or Pacific Islander,A-PI,544,1266142
,2010,2010,15-24 years,15-24,Male,M,Black or African American,2054-5,5129,3591165
,2010,2010,15-24 years,15-24,Male,M,White,2106-3,15661,17068689
Total,2010,2010,15-24 years,15-24,Male,M,,,21790,22317842
Total,2010,2010,15-24 years,15-24,,,,,29551,43626342
,2010,2010,25-34 years,25-34,Female,F,American Indian or Alaska Native,1002-5,270,315523
,2010,2010,25-34 years,25-34,Female,F,Asian or Pacific Islander,A-PI,406,1498312
,2010,2010,25-34 years,25-34,Female,F,Black or African American,2054-5,2849,3066086
,2010,2010,25-34 years,25-34,Female,F,White,2106-3,9542,15551936
Total,2010,2010,25-34 years,25-34,Female,F,,,13067,20431857
,2010,2010,25-34 years,25-34,Male,M,American Indian or Alaska Native,1002-5,525,336151
,2010,2010,25-34 years,25-34,Male,M,Asian or Pacific Islander,A-PI,713,1356088
,2010,2010,25-34 years,25-34,Male,M,Black or African American,2054-5,6071,2801017
,2010,2010,25-34 years,25-34,Male,M,White,2106-3,21883,16138835
Total,2010,2010,25-34 years,25-34,Male,M,,,29192,20632091
Total,2010,2010,25-34 years,25-34,,,,,42259,41063948
,2010,2010,35-44 years,35-44,Female,F,American Indian or Alaska Native,1002-5,414,282307
,2010,2010,35-44 years,35-44,Female,F,Asian or Pacific Islander,A-PI,710,1449931
,2010,2010,35-44 years,35-44,Female,F,Black or African American,2054-5,5901,2961585
,2010,2010,35-44 years,35-44,Female,F,White,2106-3,19574,15940784
Total,2010,2010,35-44 years,35-44,Female,F,,,26599,20634607
,2010,2010,35-44 years,35-44,Male,M,American Indian or Alaska Native,1002-5,749,290118
,2010,2010,35-44 years,35-44,Male,M,Asian or Pacific Islander,A-PI,1084,1298595
,2010,2010,35-44 years,35-44,Male,M,Black or African American,2054-5,8115,2639054
,2010,2010,35-44 years,35-44,Male,M,White,2106-3,33486,16208232
Total,2010,2010,35-44 years,35-44,Male,M,,,43434,20435999
Total,2010,2010,35-44 years,35-44,,,,,70033,41070606
,2010,2010,45-54 years,45-54,Female,F,American Indian or Alaska Native,1002-5,892,273464
,2010,2010,45-54 years,45-54,Female,F,Asian or Pacific Islander,A-PI,1565,1223444
,2010,2010,45-54 years,45-54,Female,F,Black or African American,2054-5,14700,3056411
,2010,2010,45-54 years,45-54,Female,F,White,2106-3,54032,18311038
Total,2010,2010,45-54 years,45-54,Female,F,,,71189,22864357
,2010,2010,45-54 years,45-54,Male,M,American Indian or Alaska Native,1002-5,1311,264283
,2010,2010,45-54 years,45-54,Male,M,Asian or Pacific Islander,A-PI,2297,1074756
,2010,2010,45-54 years,45-54,Male,M,Black or African American,2054-5,19393,2707520
,2010,2010,45-54 years,45-54,Male,M,White,2106-3,89017,18095800
Total,2010,2010,45-54 years,45-54,Male,M,,,112018,22142359
Total,2010,2010,45-54 years,45-54,,,,,183207,45006716
,2010,2010,55-64 years,55-64,Female,F,American Indian or Alaska Native,1002-5,1114,178582
,2010,2010,55-64 years,55-64,Female,F,Asian or Pacific Islander,A-PI,2748,919792
,2010,2010,55-64 years,55-64,Female,F,Black or African American,2054-5,21358,2196805
,2010,2010,55-64 years,55-64,Female,F,White,2106-3,96287,15586402
Total,2010,2010,55-64 years,55-64,Female,F,,,121507,18881581
,2010,2010,55-64 years,55-64,Male,M,American Indian or Alaska Native,1002-5,1590,167158
,2010,2010,55-64 years,55-64,Male,M,Asian or Pacific Islander,A-PI,3951,761268
,2010,2010,55-64 years,55-64,Male,M,Black or African American,2054-5,30458,1832463
,2010,2010,55-64 years,55-64,Male,M,White,2106-3,153296,14840259
Total,2010,2010,55-64 years,55-64,Male,M,,,189295,17601148
Total,2010,2010,55-64 years,55-64,,,,,310802,36482729
,2010,2010,65-74 years,65-74,Female,F,American Indian or Alaska Native,1002-5,1296,87469
,2010,2010,65-74 years,65-74,Female,F,Asian or Pacific Islander,A-PI,3871,490802
,2010,2010,65-74 years,65-74,Female,F,Black or African American,2054-5,24096,1192148
,2010,2010,65-74 years,65-74,Female,F,White,2106-3,148184,9846491
Total,2010,2010,65-74 years,65-74,Female,F,,,177447,11616910
,2010,2010,65-74 years,65-74,Male,M,American Indian or Alaska Native,1002-5,1507,76459
,2010,2010,65-74 years,65-74,Male,M,Asian or Pacific Islander,A-PI,5009,408568
,2010,2010,65-74 years,65-74,Male,M,Black or African American,2054-5,28395,885780
,2010,2010,65-74 years,65-74,Male,M,White,2106-3,194793,8725712
Total,2010,2010,65-74 years,65-74,Male,M,,,229704,10096519
Total,2010,2010,65-74 years,65-74,,,,,407151,21713429
,2010,2010,75-84 years,75-84,Female,F,American Indian or Alaska Native,1002-5,1387,40892
,2010,2010,75-84 years,75-84,Female,F,Asian or Pacific Islander,A-PI,6528,266935
,2010,2010,75-84 years,75-84,Female,F,Black or African American,2054-5,30941,675432
,2010,2010,75-84 years,75-84,Female,F,White,2106-3,274965,6601101
Total,2010,2010,75-84 years,75-84,Female,F,,,313821,7584360
,2010,2010,75-84 years,75-84,Male,M,American Indian or Alaska Native,1002-5,1298,29157
,2010,2010,75-84 years,75-84,Male,M,Asian or Pacific Islander,A-PI,6387,185737
,2010,2010,75-84 years,75-84,Male,M,Black or African American,2054-5,26602,395774
,2010,2010,75-84 years,75-84,Male,M,White,2106-3,277543,4866094
Total,2010,2010,75-84 years,75-84,Male,M,,,311830,5476762
Total,2010,2010,75-84 years,75-84,,,,,625651,13061122
,2010,2010,85+ years,85+,Female,F,American Indian or Alaska Native,1002-5,1299,14001
,2010,2010,85+ years,85+,Female,F,Asian or Pacific Islander,A-PI,7982,92921
,2010,2010,85+ years,85+,Female,F,Black or African American,2054-5,35552,282385
,2010,2010,85+ years,85+,Female,F,White,2106-3,444775,3314447
Total,2010,2010,85+ years,85+,Female,F,,,489608,3703754
,2010,2010,85+ years,85+,Male,M,American Indian or Alaska Native,1002-5,743,7236
,2010,2010,85+ years,85+,Male,M,Asian or Pacific Islander,A-PI,5922,54709
,2010,2010,85+ years,85+,Male,M,Black or African American,2054-5,16243,110382
,2010,2010,85+ years,85+,Male,M,White,2106-3,252958,1617352
Total,2010,2010,85+ years,85+,Male,M,,,275866,1789679
Total,2010,2010,85+ years,85+,,,,,765474,5493433
,2010,2010,Not Stated,NS,Female,F,Asian or Pacific Islander,A-PI,5,Not Applicable
,2010,2010,Not Stated,NS,Female,F,Black or African American,2054-5,5,Not Applicable
,2010,2010,Not Stated,NS,Female,F,White,2106-3,29,Not Applicable
Total,2010,2010,Not Stated,NS,Female,F,,,39,Not Applicable
,2010,2010,Not Stated,NS,Male,M,Asian or Pacific Islander,A-PI,3,Not Applicable
,2010,2010,Not Stated,NS,Male,M,Black or African American,2054-5,18,Not Applicable
,2010,2010,Not Stated,NS,Male,M,White,2106-3,66,Not Applicable
Total,2010,2010,Not Stated,NS,Male,M,,,87,Not Applicable
Total,2010,2010,Not Stated,NS,,,,,126,Not Applicable
Total,2010,2010,,,,,,,2468435,308745538
,2011,2011,< 1 year,1,Female,F,American Indian or Alaska Native,1002-5,162,39361
,2011,2011,< 1 year,1,Female,F,Asian or Pacific Islander,A-PI,392,114463
,2011,2011,< 1 year,1,Female,F,Black or African American,2054-5,3227,335326
,2011,2011,< 1 year,1,Female,F,White,2106-3,6877,1463677
Total,2011,2011,< 1 year,1,Female,F,,,10658,1952827
,2011,2011,< 1 year,1,Male,M,American Indian or Alaska Native,1002-5,199,40902
,2011,2011,< 1 year,1,Male,M,Asian or Pacific Islander,A-PI,488,119037
,2011,2011,< 1 year,1,Male,M,Black or African American,2054-5,4057,352800
,2011,2011,< 1 year,1,Male,M,White,2106-3,8583,1530971
Total,2011,2011,< 1 year,1,Male,M,,,13327,2043710
Total,2011,2011,< 1 year,1,,,,,23985,3996537
,2011,2011,1-4 years,4-Jan,Female,F,American Indian or Alaska Native,1002-5,39,155219
,2011,2011,1-4 years,4-Jan,Female,F,Asian or Pacific Islander,A-PI,55,465022
,2011,2011,1-4 years,4-Jan,Female,F,Black or African American,2054-5,456,1349131
,2011,2011,1-4 years,4-Jan,Female,F,White,2106-3,1291,5940359
Total,2011,2011,1-4 years,4-Jan,Female,F,,,1841,7909731
,2011,2011,1-4 years,4-Jan,Male,M,American Indian or Alaska Native,1002-5,46,159753
,2011,2011,1-4 years,4-Jan,Male,M,Asian or Pacific Islander,A-PI,74,481989
,2011,2011,1-4 years,4-Jan,Male,M,Black or African American,2054-5,596,1395989
,2011,2011,1-4 years,4-Jan,Male,M,White,2106-3,1689,6218059
Total,2011,2011,1-4 years,4-Jan,Male,M,,,2405,8255790
Total,2011,2011,1-4 years,4-Jan,,,,,4246,16165521
,2011,2011,5-14 years,14-May,Female,F,American Indian or Alaska Native,1002-5,46,372760
,2011,2011,5-14 years,14-May,Female,F,Asian or Pacific Islander,A-PI,90,1146365
,2011,2011,5-14 years,14-May,Female,F,Black or African American,2054-5,480,3295869
,2011,2011,5-14 years,14-May,Female,F,White,2106-3,1606,15252837
Total,2011,2011,5-14 years,14-May,Female,F,,,2222,20067831
